"Year","Offence_Type","Gender_Accused","Relationship_Type","Total_Offences","Cleared_Offences","Clearance_Rate"
"2009","Insult (art. 177)","female","partnership","1603","151","0.094198"
"2009","Insult (art. 177)","female","Total","1603","286","0.178415"
"2009","Insult (art. 177)","male","former partnership","1603","376","0.23456"
"2009","Insult (art. 177)","male","other family relationship","1603","97","0.060512"
"2009","Insult (art. 177)","male","parent-child relationship","1603","81","0.05053"
"2009","Insult (art. 177)","male","partnership","1603","744","0.46413"
"2009","Insult (art. 177)","male","Total","1603","1251","0.780412"
"2009","Misuse of a telecommunications installation (art. 179septies)","female","former partnership","670","65","0.097015"
"2009","Misuse of a telecommunications installation (art. 179septies)","female","other family relationship","670","16","0.023881"
"2009","Misuse of a telecommunications installation (art. 179septies)","female","parent-child relationship","670","1","0.001493"
"2009","Misuse of a telecommunications installation (art. 179septies)","female","partnership","670","13","0.019403"
"2009","Misuse of a telecommunications installation (art. 179septies)","female","Total","670","94","0.140299"
"2009","Misuse of a telecommunications installation (art. 179septies)","male","former partnership","670","429","0.640299"
"2009","Misuse of a telecommunications installation (art. 179septies)","male","other family relationship","670","33","0.049254"
"2009","Misuse of a telecommunications installation (art. 179septies)","male","parent-child relationship","670","26","0.038806"
"2009","Misuse of a telecommunications installation (art. 179septies)","male","partnership","670","73","0.108955"
"2009","Misuse of a telecommunications installation (art. 179septies)","male","Total","670","549","0.819403"
"2009","Rape (art. 190)","female","former partnership","205","0","0"
"2009","Rape (art. 190)","female","other family relationship","205","0","0"
"2009","Rape (art. 190)","female","parent-child relationship","205","0","0"
"2009","Rape (art. 190)","female","partnership","205","0","0"
"2009","Rape (art. 190)","female","Total","205","0","0"
"2009","Rape (art. 190)","male","former partnership","205","62","0.302439"
"2009","Rape (art. 190)","male","other family relationship","205","7","0.034146"
"2009","Rape (art. 190)","male","parent-child relationship","205","9","0.043902"
"2009","Rape (art. 190)","male","partnership","205","120","0.585366"
"2009","Rape (art. 190)","male","Total","205","197","0.960976"
"2009","Serious assault (art. 122)","female","former partnership","55","3","0.054545"
"2009","Serious assault (art. 122)","female","other family relationship","55","0","0"
"2009","Serious assault (art. 122)","female","parent-child relationship","55","7","0.127273"
"2009","Serious assault (art. 122)","female","partnership","55","4","0.072727"
"2009","Serious assault (art. 122)","female","Total","55","13","0.236364"
"2009","Serious assault (art. 122)","male","former partnership","55","10","0.181818"
"2009","Serious assault (art. 122)","male","other family relationship","55","4","0.072727"
"2009","Serious assault (art. 122)","male","parent-child relationship","55","7","0.127273"
"2009","Serious assault (art. 122)","male","partnership","55","22","0.4"
"2009","Serious assault (art. 122)","male","Total","55","41","0.745455"
"2009","Sexual acts with children (art. 187)","female","former partnership","305","1","0.003279"
"2009","Sexual acts with children (art. 187)","female","other family relationship","305","5","0.016393"
"2009","Sexual acts with children (art. 187)","female","parent-child relationship","305","11","0.036066"
"2009","Sexual acts with children (art. 187)","female","partnership","305","0","0"
"2009","Sexual acts with children (art. 187)","female","Total","305","17","0.055738"
"2009","Sexual acts with children (art. 187)","male","former partnership","305","10","0.032787"
"2009","Sexual acts with children (art. 187)","male","other family relationship","305","90","0.295082"
"2009","Sexual acts with children (art. 187)","male","parent-child relationship","305","129","0.422951"
"2009","Sexual acts with children (art. 187)","male","partnership","305","22","0.072131"
"2009","Sexual acts with children (art. 187)","male","Total","305","250","0.819672"
"2009","Sexual acts with dependent persons (art. 188)","female","former partnership","4","0","0"
"2009","Sexual acts with dependent persons (art. 188)","female","other family relationship","4","0","0"
"2009","Sexual acts with dependent persons (art. 188)","female","parent-child relationship","4","0","0"
"2009","Sexual acts with dependent persons (art. 188)","female","partnership","4","0","0"
"2009","Sexual acts with dependent persons (art. 188)","female","Total","4","0","0"
"2009","Sexual acts with dependent persons (art. 188)","male","former partnership","4","0","0"
"2009","Sexual acts with dependent persons (art. 188)","male","other family relationship","4","1","0.25"
"2009","Sexual acts with dependent persons (art. 188)","male","parent-child relationship","4","2","0.5"
"2009","Sexual acts with dependent persons (art. 188)","male","partnership","4","1","0.25"
"2009","Sexual acts with dependent persons (art. 188)","male","Total","4","4","1"
"2009","Sexual acts with persons incapable of judgement or resistance (art. 191)","female","former partnership","19","0","0"
"2009","Sexual acts with persons incapable of judgement or resistance (art. 191)","female","other family relationship","19","0","0"
"2009","Sexual acts with persons incapable of judgement or resistance (art. 191)","female","parent-child relationship","19","1","0.052632"
